user;id;date;text
M_Irfan_SH;1,62E+18;24/01/2023 08.48;@jourme2022 @secondtrash_ @collegemenfess Tapi aku dulu ikut reguler sih kak nggak mbkm atau sejenisnya, pure daftar sendiri di website perusahaanya. Tetep dapat sertif + uang saku
blueberryork;1,62E+18;23/01/2023 13.14;temen gw cerita uang mbkm belum turun, respon seorang drimstan: https://t.co/yzJOhN41SX
nanikanay;1,62E+18;21/01/2023 20.59;Ternyata keluarga gua punya ekspetasi setinggi itu sama uang beasiswa dan uang² yang masuk ke rekening. Dikira apa? Gua penghasilannya banyak? Dari djarum sama mbkm udah gua jadiin modal hidup. Apa kurang fear kalau gua berusaha sedikit royal sama diri sendiri?
mingyukatsu;1,62E+18;20/01/2023 16.30;@guapengenmakan Mbkm lebih ganggu najis mana ngeluarin uang fakyu
hanaabeliaa;1,62E+18;19/01/2023 22.29;@aleonu_bae @collegemenfess Nggak jg sih, krn ikut program MBKM aja, magang sekaligus KKN + Dikonversi 24 SKS+uang Saku
Gatharsis;1,62E+18;19/01/2023 18.27;orang miskin, mereka memiliki waktu yang bisa dikonversi menjadi nilai oportunitas, problemnya untuk memenuhi semua persyaratan yang diajukan MBKM seringkali mereka gak megang resources (uang untuk akomodasi, konsumsi) jadi ya otomatis kesempatan tersebut ada, tapi gak doable.
unstableprs;1,62E+18;19/01/2023 12.23;@pespagtsmerah @UPIfess Kalau mbkm p3k itu dikasih uang saku ga ya??
masjp_;1,62E+18;19/01/2023 08.51;Lagi mikir konsep Merdeka Belajar Kampus Merdeka (MBKM), Magang 6 Bulan. Lah Kampus yang dapat uang kita yang ngajar. Mangkir terselubung ini namanya.
kjokenmoodinger;1,62E+18;18/01/2023 20.52;@Exhausted022 @Kang_jooki @collegemenfess Kak SI ada uang saku? Maaf aku masi agak buta SI, aku cm pernah kampus mengajar 2. Maaf kak kalo bole tau btw kalian smt berapa? Mau join mbkm lagi ngga?
ubsansfess;1,62E+18;16/01/2023 23.10;Braw! (Kalau mengenyampingkan uang saku dr mbkm) kalian pilih Studi independen atau perkuliahan?
luvkindnesss;1,61E+18;16/01/2023 08.42;magang mbkm macam apa klo ky gini yang ada cm rugi tenaga, rugi waktu, rugi uang
hanaabeliaa;1,61E+18;12/01/2023 14.29;@Adiitoo @romeogadungan Temen gw ikut MBKM(merdeka belajar kampus merdeka) tepatnya di program studi independen bersertifikat. Tunjangan yg didpt selain relasi, konversi sks, tiket pp, uang saku dan juga gaji setara UMR jkt coy... Ya tpi balik lagi jobdesknya jg ga main² :v
SiriusBeam;1,61E+18;12/01/2023 13.08;@um_fess MBKM, no ribet dapet uang saku pula
unseenaw;1,61E+18;11/01/2023 19.18;@lilezr_ @collegemenfess Kak, kalo mbkm brin dapet uang saku dari msib juga ga ya?
Meong41430787;1,61E+18;11/01/2023 07.33;@collegemenfess Uang saku si soalnya mbkm
feeddee_;1,61E+18;10/01/2023 13.52;@collegemenfess ambil mbkm nder wkwkw walopun lulusnya lama, benefitnya bagus banget buat cv kamu. belom lagi dapet uang saku heheheh
unstableprs;1,61E+18;10/01/2023 10.57;@convomfs Pernah di posisi ini nder tapi menurut aku kuliah kalau kamunya ga ogah ogahan nanti juga dapet pengalaman, apalagi sekarang disediain mbkm drisitu juga dapet skill dan uang, relasi dan juga insights baru yg mungkin ga didapetin temen kamu yg ga kuliah
katanya_fafifu;1,61E+18;06/01/2023 15.56;@collegemenfess Bisa kok.. juniorku banyak yg ikut. Fyi kalau magang di sekolahmu diurus pihak kampus jadi program MBKM (Asistensi Mengajar di Satuan Pendidikan) nanti juga bakal dapet uang saku dan konversi 20 sks juga
minglinq;1,61E+18;05/01/2023 18.02;@yr3tsym @collegemenfess mjb kak ga sengaja nemu replyan kakaknya, ini bener kak sebulan bisa sampe 3jt uang saku+akomodasinya dari mbkm? dulu kakaknya magang di company mana ya kak kalo boleh tau? -ns
loveatfirsight1;1,61E+18;04/01/2023 01.12;Mau minta pendapat boleh ga. Skrg mau sem 8, Pen ngumpulin uang byk tahun ini, udah ngajar tapi salary cuman cukup buat jajan, itu pun masih ga cukup sih. Pen magang mbkm tapi infonya ga bisa sempro ma sidang tu. Gimanaa ya ?
nionione;1,61E+18;03/01/2023 13.58;@collegemenfess kalau u pengen cepet lulus ya ambil magang pas liburan aja. kalau santai mah ya ikut mbkm lumayan dapat uang saku. tapi ya jangka waktunya lama. dan bisa aja instansi tempat magang ngasih nilai c/bc itu bakal berdampak sama 20 sks mu.
bubble3_gum;1,61E+18;01/01/2023 10.29;"+ lulus mbkm
+ ipk smt 5 stabil/naik
+ punya ayang wkwk
+ yaa.. semoga jadi pribadi yang lebih baik, lebih banyak sabar, dan banyak uang"
urlply;1,61E+18;01/01/2023 01.07;"@collegemenfess bisa lulus seminar pkl tepat waktu, dapet judul skripshit dan kelarin juga, makin fokus kuliah, bisa cari uang sendiri, makin banyak temen&amp;relasi, ikut mbkm, cepet lulus, semoga lancar dan kuat??"
jeongwoo_z;1,61E+18;30/12/2022 12.45;uang mbkm ku kemana ya kok tiba2 abis aja
SimbokeSarah;1,61E+18;30/12/2022 07.43;"Mahasiswa jaman sekarang pilihan beasiswanya banyak. Program Merdeka Belajar Kampus Merdeka (MBKM) juga menyediakan program² magang dengan ""uang saku"" yang besar nominalnya serta lancar pencairannya.
Tinggal mahasiswa niat kuliah ga.

Urusan anggota dewan?
Begitulah ??"
DwiTriono19;1,61E+18;29/12/2022 20.54;@adi_boba Permisi kak mau tanya kalo mbkm di alfamidi uang sakunya cuma dari yang pemerintah apa dapet tambahan lagi dari alfamidi apa ngga yah kak?
tempekpenyet;1,60E+18;15/12/2022 13.22;@str8phob HAH KOK BS SIHHHH UANG MBKM U KMN COK
xxlovegood_;1,60E+18;14/12/2022 23.52;@bulatsabit @collegemenfess eee... jujur aja, aku ga pernah ngeluarin uang buat mbkm ko ka, malah aku dapet duit dan ukt dibayarin 1 smt. jg ga pernah nyogok uang biar nilainya A...
hyggekoo;1,60E+18;12/12/2022 18.40;"Uang mbkm nutup ga ya buat pengeluaranku sehari2

Di dompet tinggal 17 rebu bjing ????"
enchelted;1,60E+18;11/12/2022 02.58;"@collegemenfess 1. salah satu syarat ikut msib tuh km belum yudisium dan bersedia ga yudisium selama aktif kegiatan msib. kalo km ngerasa ga bakal bisa yudisium sampe akhir program si ikut aja. 
2. jgn berharap uang saku dari program mbkm bakal lancar krena ak udah ikut mbkm 2x dan 22nya ga+"
Yukicalico;1,60E+18;11/12/2022 01.53;@collegemenfess Mending magang mandiri. MBKM banyak yang uang saku delay
cipaaa131;1,60E+18;05/12/2022 20.07;@nyuwiforlifeu @collegemenfess Mjb kak mau nanya, kalo buat kk sendiri uang saku yg dikasih bisa nutupin biaya hidup kk selama mbkm ga kak?
biyyya_;1,60E+18;05/12/2022 18.40;Widiii uang kaget mbkm mashok jg wkwkkw mayan buat jajan
polinda28;1,60E+18;03/12/2022 19.01;"Dari pada jadi mahasiswa kupu-kupu, mending ikut program MBKM, kayak kampus mengajar, pertukaran mahasiswa, wirausaha merdeka, magang, studi independen dll.. Selain dapat sertifikat, kita juga dapat uang jajan, potongan UKT, yg paling penting pengalaman ama relasi sih;)"
kucing_abuputih;1,60E+18;30/11/2022 19.19;motivasi ikut mbkm semt ini biar bisa banyak uang kaya taun kmrn ikut mbkm, tapi nyatanya malah zonk bintang 0 besar :) agak menyesal tapi gapapa harus diselesekn
iniameI;1,60E+18;27/11/2022 07.59;@UGM_FESS Ikut magang kampus merdeka aja nder, coba buka websitenya, sm tanya jg ke PIC MBKM prodimu ttg administratifnya, trus coba pastiin jg prodimu support gak buat convert 20 SKS? Kalau iyaa sabi bgt ikut, mayan kalo magang offline dapet uang saku 2.8jt/bln, klo hybrid 2jt
haremarem;1,59E+18;17/11/2022 15.02;@collegemenfess Uang saku mbkm yg dipotong
libeeastaa;1,59E+18;08/11/2022 21.28;Arghhh ikut program mbkm yg sama tp karena kebijakan fakultas beda2 uang sakunya juga beda ?? dan fakultasku ngasih uang saku nya cm ratusan ribu untuk 1 semestter, fakultas lain jutaan untuk 1 semester ??
iyasayangquu;1,59E+18;03/11/2022 14.48;"@convomf kamu coba ikut program mbkm nder, itu nambah2 uang saku perbulannyaa. semngat ya nder buat kamu, smoga setelah ujian ini, kehidupanmu akan selalu lancar&lt;3 semangat!!!"
karamelmachiat1;1,59E+18;03/11/2022 10.58;@halaachu @collegemenfess mbkm batch 1 dapet uang saku, setelah batch itu tergantung perusahaannya ada yg daper ada yg enggak
safiraxl;1,59E+18;30/10/2022 21.08;or uang mbkm idk fak pengen liat nadinn and nyanyi albumnya keras2  ??????
fardanayy;1,59E+18;29/10/2022 10.25;kegiatan kalian hari ini selain menunggu uang saku MBKM cair ngapain aja gais
airlanggafess;1,59E+18;26/10/2022 10.35;-uner Disini ada yang pernah diterima magang MBKM Mandiri Bank BRI, itu tiap bulannya dapat uang saku tidak ya kak? Terima kasih
inikanrey;1,58E+18;21/10/2022 17.09;@collegemenfess nih yaa sepengetahuan ku, jatah ikut mbkm itu tiga semester artinya tiga kali. nah yang dimaksud dua kali ini, uang dari pemerintah nya, setelah ikut mbkm kedua kali, nanti kalo mau ikut mbkm lagi gapapa, tapi ga dapet duit itu lhoo. ngerti gasi, koreksi kalo salah
